Organization Name,Address ,Unit Number,Community,State,Zip Code,County,Services Offered 1,Services Offered 2,Services Offered 3,Services Offered 4,Services Offered 5,Services Offered 6,Services Offered 7,Services Offered 8,Services Offered 9,Website URL,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Service Class 1,Service Class 2,Service Class 3,Target Population 1,Target Population 2,Target Population 3,Age Range,Additional Notes,,,,,,,,,,,,,,,,,,,,,,
TransCEND,75 Amory Street,,Jamaica Plain,MA,02119,Suffolk,case management,HIV/AIDS,support group,healthcare,,,,,,http://transcendboston.org/en/about,617.450.1016,,transcend@aac.org,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,transgender youth,individuals infected/affected by HIV/AIDS,,,"TransCEND (Transgender Care and Education Needs Diversity) provides support and risk reduction services to transgender women (male to female). The program offers member support, assistance with accessing basic services, medical care, support groups, educational groups, risk reduction materials, and individual case management.",,,,,,,,,,,,,,,,,,,,,
Transformation Center,98 Maganzine Street,#2,Roxbury,MA,02119,Suffolk,mental health services,support group,training and technical assistance,substance abuse services,,,,,,http://transformation-center.org/,617-442-4111,Scott Francis      ,scottf@transformation-center.org,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,,,18+,,"The Transformation Center is a peer-operated center with a mental health focus on wellness and life recovery through dialogue, education, systems change advocacy, and peer support. ",,,,,,,,,,,,,,,,,,,,,
Waltham House: The Home for Little Wanderers,,,Waltham,MA,02451,Suffolk,housing services,counseling,,,,,,,,http://www.thehome.org/site/PageServer?pagename=programs_waltham_house#.UZTtTKJwfSg,(617) 267-3700 ,,rreed@thehome.org,,,"Child/Adolescent Short-Term Stabilization, Emergency Placement",,,LGBTQ youth,,,14-18,,"Waltham House is a group home program designed to provide a safe and supportive living environment for up to 12 gay, lesbian, bisexual and transgender (GLBT) youth ages 14-18.",,,,,,,,,,,,,,,,,,,,,
YARN (young adult resource network),,,Dorcester,MA,02122,Suffolk,career skills,housing services,life skills,,,,,,, http://www.thehome.org/site/PageServer?pagename=programs_independent_living#.Uaj3NErloQo,617-287-0160,,,,,Child/Adolescent Community Based Social Skills and Recreation,,,LGBTQ youth,,,17-22,,"The Young Adult Resource Network assists young adults ages 17-22 who are involved with the Department of Children and Families (DCF) in obtaining stable housing, employment, physical and psychological wellness, and educational and community involvement, while developing supportive relationships. ",,,,,,,,,,,,,,,,,,,,,
Bisexual Resource Center,,,Boston,MA,02117,Suffolk,resources,public education,support group,social group,,,,,,http://www.biresource.net/index.shtml,617 424 9595,,BRC@BIRESOURCE.NET,,,,,,LGBTQ youth,,,,,The BRC is committed to providing support to the bisexual community and raising public awareness about bisexuality and bisexual people. ,,,,,,,,,,,,,,,,,,,,,
Boston Living Center and Victory Programs,29 Stanhope Street,,Boston,MA,02116,Suffolk,HIV/AIDS,support group,training and technical assistance,Support group,social group,housing services,referrals,recreation,,,617.236.1012,"Larry Kessler, Boston Living Center Director",lkessler@vpi.org,,,"Direct Prevention, Outreach, and Stabilization Services",Clubhouse,,,,,,,The Boston Living Center (BLC) is a nonprofit community and resource center whose mission is to foster the wellness of all HIV positive people and respond to the changing needs of the HIV/AIDS community.,,,,,,,,,,,,,,,,,,,,,
Amherst College Queer Resource Center,Queer Resource Center,"AC# 2065, Keefe Campus Center",Amherst,MA,01002,Hampshire,resources,social group,public education ,,,,,,,https://www.amherst.edu/campuslife/rainbow,413-542-5114  ,, qrc@amherst.edu,,,Clubhouse,,,LGBTQ youth,,,college ,,"The mission of the Queer Resource (QRC) is to support the LGBTQQIAA (Lesbian, Gay, Bisexual, Transgender, Queer, Questioning, Intersex, Asexual and Ally) students of Amherst College.",,,,,,,,,,,,,,,,,,,,,
East Coast FTM Group,,,Northampton,MA,01060,Hampshire,support group,,,,,,,,,,(413) 584-7616,Bet Power, betpower@yahoo.com,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,transgender youth,,,,"Peer support group open to all masculine-identified, female-born persons – FTMs, transmen of all sexual orientations/identities, crossdressers, stone butches, transgendered, transsexuals, non-op, pre-op, post-op, genderqueer, bi-gendered, questioning – and our significant others, family, and allies.",,,,,,,,,,,,,,,,,,,,,
"Eunice Aviles,. PsyD",26 South Prospect Street,Suite 19,Amherst,MA,01002,Hampshire,mental health,counseling,,,,,,,,http://euniceaviles.com/,413-657-6104,Eunice Aviles,dr.euniceaviles@gmail.com,,therapy@euniceaviles.com ,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,transgender youth,,,,"I am a Doctor in Clinical Psychology and a Licensed Mental Health Counselor. My general practice focuses on the treatment of depression, anxiety, trauma, substance abuse, impulse control disorders, and the emotional consequences of bullying (for youths and adults) and other social issues. I specialize in the diagnosis and treatment of sexual dysfunction as well as in sexual orientation and gender-related issues. ",,,,,,,,,,,,,,,,,,,,,
Family Diversity Projects,,,Amherst,MA,01004,Hampshire,resources,public education,,,,,,,,http://familydiv.org/about,413-256-1611,,,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,,,,,Family Diversity Projects (FDP) is a non-profit organization (501c (3) devoted to educating people of all ages about the full range of diversity. ,,,,,,,,,,,,,,,,,,,,,
Food for Thought Books,106 North Pleasant Street,,Amherst,MA,01002,Hampshire,recreation,social group,,,,,,,,http://www.foodforthoughtbooks.com/,413-253-5432,,info@foodforthoughtbooks.com,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,,,,,"A not-for-profit, workers' collective bookstore featuring queer yoga, queer & trans pen pal program, and queer author readings.",,,,,,,,,,,,,,,,,,,,,
Generation Q North: Community Action Youth Programs,2 Conz Street,Maplewood Shops #34,Northampton,MA,01060,Hampshire,support group,social group,,,,,,,,http://www.communityaction.us/our-groups-programs.html,413-774-7028,,GenQ@communityaction.us,,,Clubhouse,,,LGBTQ youth,,,,,"Generation Q is a confidential social and support group for gay, lesbian, bisexual, transgender, queer, and questioning youth and their straight allies.",,,,,,,,,,,,,,,,,,,,,
"TREE (Transgender Rights, Education and Empowerment): Community Action Youth Programs",2 Conz Street,Maplewood Shops #34,Northampton,MA,01060,Hampshire,support group,social group,,,,,,,,http://www.communityaction.us/our-groups-programs.html,413-774-7028,,TREE@communityaction.us,,,Center-Based Basic Living and Personal Care Supports,Training and Skills Development,Clubhouse,LGBTQ youth,transgender youth,,12 - 21,,"TREE (Transgender Rights, Education and Empowerment) provides  peer support, advocacy, education, and leadership development opportunities for trans identified and gender non-conforming youth. ",,,,,,,,,,,,,,,,,,,,,
GLBTQA Youth Alliance Pride Zone,34 Maplewood Shop,,Northampton,MA,01060,Hampshire,support group,social group,,,,,,,,,(413) 584-1116,Heather King,przone@valinet.com,,,Clubhouse,,,LGBTQ youth,transgender youth,,under 21,,The GLBTQA Youth Alliance is open to all youth aged 21 and under. We meet every Thursday from 7 to 8:30 p.m. During meeting times youth engage in a weekly check-in and then move on to either discussions that have come up during the check-in time or other discussions and/or trainings that youth have decided upon as a group.,,,,,,,,,,,,,,,,,,,,,
Hampshire College Queer Community Alliance ,893 West Street,,Amherst,MA,01002,Hampshire,resources,social group,support group,,,,,,,http://www.hampshire.edu/studentlife/queercommunityalliancenter.htm,413.559.6234,Emily Rimmer,erimmer@hampshire.edu,,,Clubhouse,,,LGBTQ youth,,,college,,"The Queer Community Alliance Center (QCAC) began as a student group, and in 1992 it became an institutionalized part of the College. The QCAC is a part of the department of Community Advocacy in the division of Student Life. The QCAC is overseen by Hampshire College Queer Services, and strives to support a vibrant and intentional LGBTQ+ community by offering support and affirmation around gender, sexuality and intersecting identities. ",,,,,,,,,,,,,,,,,,,,,
"J. Michael Rowan, MSW, LICSW",,,Greenfield,MA,01302,Hampshire,counseling,mental health services,,,,,,,,,(413) 773-5420,,Email@RowanPsychotherapy.com,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,transgender youth,,,,,,,,,,,,,,,,,,,,,,,,,
"J. Michael Rowan, MSW, LICSW",,,Easthampton,MA,01027,Hampshire,counseling,mental health services,,,,,,,,,(413) 773-5420,,Email@RowanPsychotherapy.com,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,transgender youth,,,,,,,,,,,,,,,,,,,,,,,,,
LGBT Associates of Western Mass:  Dr. Shelley Janiczek Woodson and Dr. Brett-Genny Janiczek Beemyn ,183 West State Street,,Granby,MA,01033,Hampshire,mental health services,counseling,public education ,training and technical assistance,,,,,,http://www.masstherapist.com/LGBTQQIAServices.en.html,413-222-0998,,thebeemyns@gogtt.net,,info@masstherapist.com,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,transgender youth,,,,"In consultation with our team of  professional associates, we offer a wide range of expert counseling, consultation and referral services. We specialize in assisting and supporting gender-variant people of all ages, and in working with bisexual people.  ",,,,,,,,,,,,,,,,,,,,,
LGBT Coalition of Western Mass,32 Industrial Drive East,,Northampton ,MA,01060,Hampshire,public education,resources,referrals,,,,,,,http://www.lgbtcoalitionwma.org/,413-588-1018,,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,,,,,"By offering a multitude of services using innovative advocacy, community outreach programs and events, referral services and more, the Coalition strives to build stronger communities and families by bridging the gaps that exist between members of the LGBT community itself and mainstream society. ",,,,,,,,,,,,,,,,,,,,,
LGBT Jews & Allies,388 North Pleasant Street,,Amherst,MA,01002,Hampshire,support group,social group,,,,,,,,http://umass.hillel.org/home.aspx,,,esobel@student.umass.edu,,tlaster@student.umass.edu,Clubhouse,,,LGBTQ youth,,,,,"We are an inclusive group at UMass that supports and programs for lesbian, gay, bisexual, transgender, and queer rights along with being Jewish.",,,,,,,,,,,,,,,,,,,,,
Life Course Counseling Center,,,Northampton ,MA,01061,Hampshire,counseling,mental health services,,,,,,,,http://www.lifecourse.net,(413) 585-1655,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,transgender youth,,,,"LifeCourse Counseling Center was established in 1980 and provides LGBTQI people therapy, counseling, psychotherapy, consultation and education throughout the Pioneer Valley of Western Mass and telephone and web cam therapy nation-wide.",,,,,,,,,,,,,,,,,,,,,
Men's Resource Center for Change,,,Amherst,MA,01004,Hampshire,support group,referrals ,resources,,,,,,,http://www.mrcforchange.org,413-253-9887 ,,mrc@mrcforchange.org,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,,,,,"The mission of the Men's Resource Center for Change is to support men in developing healthy self-awareness and meaningful personal relationships with women, children and other men that move beyond the limits of masculine stereotypes and social patterns that have divided men historically. ",,,,,,,,,,,,,,,,,,,,,
"NOHO Pride, Inc",,,Northampton ,MA,01061,Hampshire,resources,public education,college preparation,,,,,,,http://www.site.nohopride.org/LGBT_Scholarship.html, 413-586-5602,,,,,"Education, Vocational and Skills Training",,,LGBTQ youth applying to college ,,,,,,,,,,,,,,,,,,,,,,,,,,
PFLAG Amherst,,,Amherst,MA,01004,Hampshire,support group,public education,resources,,,,,,,,413-586-2111,,,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,parent ,ally,,,,,,,,,,,,,,,,,,,,,,,,
PFLAG Northampton,320 Riverside Drive,"Highland Valley Elder Services, Cutlery Building",Northampton,MA,01062,Hampshire,support group,public education,resources,,,,,,,,413 625-6636,,jcmalinski48@gmail.com,,,"Community Prevention, Education and Outreach",,,LGBTQ youth,parent ,ally,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Valley LGBTQ Women's Meetup Group,,,Easthampton,MA,01027,Hampshire,support group,social group,recreation,,,,,,,,http://www.meetup.com/pioneervalleywomen/,,,,,Clubhouse,,,LGBTQ youth,,,,,The purpose of this group is to build community for LGBTQ women in the greater Pioneer Valley area. ,,,,,,,,,,,,,,,,,,,,,
Resource Center for Gender and Sexuality,7 College Lane,Wesley House,Northampton ,MA,01063,Hampshire,resources,public education,,,,,,,,http://www.smith.edu/ose/rcsg.php,(413) 585-6014,,RCSG@smith.edu,,,"Education, Vocational and Skills Training",,,LGBTQ youth,,,college,,"The Resource Center for Sexuality & Gender (RCSG) seeks to contribute to understanding of the diverse meanings and expressions of sexuality and gender, and the intersection of sexuality, gender, class and race (as well as other social identities).",,,,,,,,,,,,,,,,,,,,,
Safe Passage,43 Center Street ,Suite 304,Northampton,MA,01060,Hampshire,intimate parter violence,shelter services,legal services,counseling,public education,support group,,,,http://www.safepass.org,413-586-1125 (office); 413-586-5066 (hotline),,,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,,,,,"Safe Passage is committed to ending domestic violence and oppression in women's lives. All Safe Passage programs are free, accessible and confidential. Our comprehensive services include shelter, peer-support, counseling, education, advocacy, legal support and community education. ",,,,,,,,,,,,,,,,,,,,,
St. John's Episcopal Church,48 Elm Street,,Northampton,MA,01060,Hampshire,substance abuse services,spirituality,,,,,,,,http://www.stjohnsnorthampton.org,(413) 584-1757,,stjohnsnorthampton@verizon.net,,,"Direct Prevention, Outreach and Stabilization Services",,,LGBTQ youth,,,,,Runs Alcholics Anonymous support group,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,296 Nonotuck Street,,Florence,MA,01062,Hampshire,healthcare,,,,,,,,,http://www.tapestryhealth.org/,(413) 586-2016,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,27 Pray Street,,Amherst,MA,01002,Hampshire,healthcare,STI testing,HIV/AIDS,,,,,,,http://www.tapestryhealth.org/,(413) 548-9992,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,16 Center Street,Suite 415,Northampton,MA,01060,Hampshire,healthcare,STI testing,HIV/AIDS,,,,,,,http://www.tapestryhealth.org/,(413) 586-2539,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,
The Center for Women and Community,180 Infirmary Way,New Africa House,Amherst,MA,01003,Hampshire,sexual assault services,support group,counseling,domestic violence,resources,,,,,http://www.umass.edu/ewc,413-545-0883 ,,ewcmail@admin.umass.edu,,,Child/ Adolescent/ Young Adult Intermediate-Term Stabilization,,,LGBTQ youth,,,,,"We provide innovative and informed education, leadership opportunities, advocacy, and support services, that address the cause and impact of sexism and recognize the multiple oppressions experienced by women. We offer services to people of all genders within the diverse communities of Hampshire County, the Five Colleges and the University of Massachusetts Amherst.",,,,,,,,,,,,,,,,,,,,,
The Stonewall Center,256 Sunset Ave,Crampton Hall ,Amherst,MA,01003,Hampshire,support group,public education,resoures,social group,referrals,,,,,http://www.umass.edu/stonewall/,(413) 545-4824,,stonewall@stuaf.umass.edu,,,Clubhouse,,,LGBTQ youth,,,,,"The Stonewall Center provides support, advocacy, and programming for LGBTQ and allied students, staff, and faculty at UMass Amherst and for the larger Pioneer Valley.",,,,,,,,,,,,,,,,,,,,,
The Sunshine Club,,,Hadley,MA,01035,Hampshire,support group,social group,,,,,,,,,413-586-5004,,rsteel@att.net,,,clubhouse,,,LGBTQ youth,transgender youth,,,,Support group for MTF transgender individuals that meets monthly in Hadley.,,,,,,,,,,,,,,,,,,,,,
True Colors , 5 Faculty Lane,Jeanette Marks House,South Hadley,MA,01075,Hampshire,support group,social group,public education ,resources,,,,,,https://www.mtholyoke.edu/org/colors/,,,owner-true-colors-l@mtholyoke.edu,,,Clubhouse,,,LGBTQ youth,,,college,,"A student organization for organizing and providing support, activism, outreach, and social functions for the lesbian, gay, bisexual, transgender*, queer, questioning, and straight ally population for the Mt. Holyoke community.",,,,,,,,,,,,,,,,,,,,,
Venture Out,,,Northampton,MA,,Hampshire,recreation,,,,,,,,,,(413) 584-8764 ,,ventureout.geo@yahoo.com,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pat Jenkins, LICSW",16 Center St.,,Northampton ,MA,01060,Hampshire,counseling,mental health services,,,,,,,,http://patriciajenkinstherapy.com/,413-584-2590,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,,,,,"Patricia Jenkins MSW LICSW works as a psychotherapist in Northampton, MA.  She provides psychotherapy to adults, adolescents, children, couples and families.  Patricia also offers group therapy for adults who are dealing with specific issues.",,,,,,,,,,,,,,,,,,,,,
Treehouse Foundation,One Treehouse Circle,,Easthampton,MA,01027,Hampshire,foster care services,leadership development,support group,social group,recreation,,,,,http://refca.net/home-page,413-527-7966,,,,,Placement Services and Supports,,,LGBTQ youth,,,,,"The Treehouse Foundation promotes public investment in our most vulnerable children. We seek to inspire, implement and support innovative child welfare practices to ensure children who have experienced foster care find lifelong family relationships in supportive communities, which enable them to lead fulfilling and productive lives. Services include HEROES Youth Leadership program.",,,,,,,,,,,,,,,,,,,,,2012
American Civil Liberties Union of Massachusetts,39 Main Street,,Northampton,MA,01060,Hampshire,legal services,public education,resources,,,,,,,http://www.aclum.org/ ,413.586.9115,, info@aclum.org ,,,"Community Prevention, Education and Outreach",,,LGBTQ folks,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health Needle Exchange,16 Center Street,Suite 423,Northampton,MA,01060,Hampshire,healthcare,STI testing,HIV/AIDS,needle exchange,,,,,,http://www.tapestryhealth.org/index.php/services/prevention/needle-exchange,(413) 586-0310,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,
Mason Sqaure Neighbourhood Health,11 Wilbraham Road,,Springfield,MA,01109,Hampden,healthcare,HIV/AIDS,STI testing,,,,,,,http://baystatehealth.com/Baystate/Main+Nav/About+Us/Locations/Baystate+Medical+Practices/Primary+Care/Mason+Square+Neighborhood+Health+Center,413-794-3710,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",Clicinical and Medical Diagnostics,Individual Primary Care Wellness,Individuals infected/affected by HIV/AIDS,,,,,"Baystate Health's charitable mission is to improve the health of the people in our communities every day, with quality and compassion.",,,,,,,,,,,,,,,,,,,,,
Sharon Wretvel,11 Wilbraham Road,Mason Sqaure Neighbourhood Health,Springfield,MA,01109,Hampden,healthcare,primary care,,,,,,,,http://baystatehealth.com/Baystate/Main+Nav/ch.Find+a+Doctor.Print,413-794-3710,,,,,Individual Primary Care Wellness,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aleah Nesteby, RN, FNP (baystate)",140 High Street,Baystate High Street Health Center,Springfield,MA,01109,Hampden,Primary care,healthcare,,,,,,,,http://baystatehealth.com/Baystate/Main+Nav/ch.Find+a+Doctor.Print,413-794-2511 ,Aleah Nesteby,,,,Individual Primary Care Wellness,,,,,,18+,,,,,,,,,,,,,,,,,,,,,,,
Always Our Children,395 Chestnut St,Sacred Heart Church Diocese of Springfield,Springfield,MA,01104,Hampden,Support group,spirituality,,,,,,,,,"413-736-6803, 413-592-8670



",Ann Franczyk,annrun76@aol.com,,swtsomay@aol.com,"Community Prevention, Education, and Outreach",,,Parent,Family,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,
Child Guidance Clinic,,,Springfield,MA,,Hampden,Psychotherapy services,,,,,,,,,"110 Maple Street

Springfield, MA 01105",413-732-7419,"intake dept, vm",,,,"Clinicial and Medical Counseling, Therapy, and Treatment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudia Martorell,57 Mulberry St,,Springfield,MA,01105,Hampden,Healthcare,,,,,,,,,,413-747-5566,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,transgender youth,,,,,,,,,,,,,,,,,,,,,,,,,
"David Norton, Holyoke Pediatrics",150 Lower Westfield Rd,,Holyoke,MA,01040,Hampden,Healthcare,Primary care,,,,,,,,http://www.holyokepediatrics.com/_providers/_norton/index.html,413-536-2393,David Norton,,,,Individual Primary Care Wellness,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
GLBT Referral Service,,,,MA,,Hampden,referrals,,,,,,,,,,413-586-2627,,,,,Hotline Support,,,LGBTQ youth,,,,,A clearing house for quality LGBT-friendly clinicians across western MA,,,,,,,,,,,,,,,,,,,,,
Holyoke Equal Rights Association (HERA),6 Open Square Way,,Holyoke,MA,01040,Hampden,social group,support group,leadership development,resources,,,,,,http://youthtaskforce.org/youth/h-e-r-a-2/,413-532-6247 x103 ,Amy Epstein,aepstein@girlsincholyoke.org,,,"Community Prevention, Education, and Outreach",Child/Adolescent Community Based Social Skills and Recreation,,LGBTQ youth,,,,,"H.E.R.A. provide Holyoke’s LGBTQ youth and their allies a safe and bully free space, in where they can be themselves, receive safer sex information, develop their leadership, and more",,,,,,,,,,,,,,,,,,,,,
Holyoke Health Center,230 Maple Street,,Holyoke,MA,01040,Hampden,heatlhcare,HIV/AIDS,primary care,,,,,,,http://www.hhcinc.org/home.php,413-420-2200,,,,,"Clinical and Medical Counseling, Therapy, and Treatment ",Clicinical and Medical Diagnostics,Individual Primary Care Wellness,LGBTQ youth,transgender youth,,,,,,,,,,,,,,,,,,,,,,,,,
"Joanna Frost, MSW, LICSW",700 Main Street,,Holyoke,MA,01040,Hampden,mental health services,counseling,referrals ,,,,,,,http://www.joannafrost.com/Joanna_Frost/Welcome.html,413-534-3033,Joanna Frost,joannafrst@yahoo.com,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,transgender youth,,,,"An independent Licensed Clinical Social Worker providing a range of services, including those related to gender identity",,,,,,,,,,,,,,,,,,,,,
"Jorge Silva (new Number, other location of N Main St)   2.jay haver F) practice manager and hiv aids NP kristin benjamin 794-7421 and 530 4918",,,Springfield,MA,,Hampden,Endocrinology,,,,,,,,,"Bay State Medical Center

3300 Main St, Suite 3A

Springfield, MA 01199",413-794-7031,Jorge Silva,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julie Dialessi-Lafley,33 State St,"Bacon Wilson, Attorneys at Law",Springfield,MA,01103,Hampden,Legal services,,,,,,,,,http://www.baconwilson.com/attorneys/dialessi-lafley,413-781-0560,Julie Dialessi-Lafley,JDialessi-lafley@BaconWilson.com,,,Legal Protective Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly Browne-Martin,2 Medical Center Drive,Suite 210,Springfield,MA,01107,Hampden,Healthcare,,,,,,,,,http://baystatehealth.com/Baystate/bmc,413-734-4661,Kimberly Browne-Martin,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,transgender youth,,,,Endocrinologist at Baystate Medical Center,,,,,,,,,,,,,,,,,,,,,
Kyle Guelcher,45 Willow Street,Suite 321,Springfield,MA,01103,Hampden,Legal services,,,,,,,,,http://www.esq50.com/,413-781-4800,Kyle Guelcher,,,,Legal Protective Services,,,LGBTQ youth,transgender youth,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Street Clinic,417 Liberty Street ,,Springfield,MA,01104,Hampden,Mental health services,Healthcare,,,,,,,,http://bhninc.org/content/bhn-liberty-street-clinic,"413-301-9335 (Michelle)

413-301-9476 (Madeline)

413-301-9461 (John)

413-301-9465 (Lindsay)","Michelle Marchese;

Madeline Nussbaum;

John Danie Ritchie;

Lindsay Davison ",,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,,,,,Psychotherapy services,,,,,,,,,,,,,,,,,,,,,
Massachusetts Commission Against Discrimination ,436 Dwight Street,Suite 315,Springfield,MA,01103,Hampden,Resources,Legal Services,training and technical assistance,,,,,,,http://www.mass.gov/mcad/index.html,413-739-2145,,,,,Legal Protective Services,,,LGBTQ youth,,,,,"Receives discrimination complaints regarding housing, education, public accommodation, employment, and hate crimes",,,,,,,,,,,,,,,,,,,,,
"Melissa Johnson, Pioneer Valley Plastic Surgery",100 Wason Ave,Suite 360,Springfield,MA,01107,Hampden,Healthcare,,,,,,,,,http://www.pioneervalleyplasticsurgery.com/,413-731-7877,Melissa Johnson,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,transgender youth,,,,"Provides plastic surgery, including FTM and MTF top surgery",,,,,,,,,,,,,,,,,,,,,
Mount Tom Center for Mental Health and Recovery,40 Bobola Road,,Holyoke,MA,01040,Hampden,mental health services,counseling,substance abuse services,,,,,,,http://bhninc.org/content/mt-tom-center-mental-health-recovery,413-536-5473,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,,,,,Mount Tom Center for Mental Health and Recovery is a community based licensed outpatient mental health and substance abuse program providing on-site and outreach services to the community,,,,,,,,,,,,,,,,,,,,,
Mount Tom City Clinic,230 Maple Street,,Holyoke,MA,01040,Hampden,mental health services,counseling,substance abuse services,,,,,,,http://bhninc.org/content/mt-tom-city-clinic,413-532-0389,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,,,,,"City Clinic is a community-based outpatient program providing bilingual (English/Spanish) culturally competent services to the Holyoke community. Our bilingual Master’s and  Doctoral level Clinicians, Nurses, and Psychiatrists provide assessment and treatment to clients dealing with a wide range of mental health and substance abuse issues. ",,,,,,,,,,,,,,,,,,,,,
Out Now ,32 Hampden St,,Springfield,MA,01103,Hampden,Support group,social group,leadership development,public education,resources,recreation,,,,http://outnowyouth.org/who-we-are-2/our-home/,"413-736-4610

outnow@comcast.net",Holly Richardson,,,,"Community Prevention, Education, and Outreach",Child/Adolescent Community Based Social Skills and Recreation,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Valley UniTy,3300 Main Street,,Springfield,MA,01199,Hampden,support group,,,,,,,,,http://groups.yahoo.com/group/unity-of-the-pioneer-valley/,"413-231-8834, 860-604-6343",Keri; Deja ,,,,"Community Prevention, Education, and Outreach",,,LGBTQ youth,transgender youth,parent,ally,,"This group is open to people who identify as transgender, as well as their allies, friends, significant others and family members. We are an inclusive group, and very much welcome supportive people from the larger GLBT community.",,,,,,,,,,,,,,,,,,,,,
School Street Counseling Institute,110 Maple Street,,Springfield,MA,01105,Hampden,mental health services,counseling,substance abuse services,,,,,,,http://bhninc.org/content/school-street-counseling,413-846-4300,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,,,,,"SSCI provides outpatient psychotherapeutic clinical services to children, families, and adults.  We serve clients with a wide variety of mental health and substance abuse problems.  Our staff includes professional psychologists, social workers, school counselors and psychiatrists.  SSCI offers linguistically and culturally competent services, as our staff offers services in Spanish, Russian, Polish, and Hebrew.",,,,,,,,,,,,,,,,,,,,,
"Stephanie Billings, Holyoke Health Center ",230 Maple St,,Holyoke,MA,01040,Hampden,healthcare,primary care,,,,,,,,http://www.hhcinc.org/,413-420-2200 x2272,Stephanie Billings,,,,Individual Primary Care Wellness,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,306 Race Street,,Holyoke,MA,01040,Hampden,healthcare,STI testing,HIV/AIDS,,,,,,,http://www.tapestryhealth.org/,(413) 536-8777,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,1985 Main Street,,Springfield,MA,01103,Hampden,healthcare,STI testing,HIV/AIDS,,,,,,,http://www.tapestryhealth.org/,(413) 733-6639,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,LGBTQ youth,,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,
