Organization,Search Category 1,Search Category 2,Search Category 3,Search Category 4,Search Category 5,Search Category 6,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Service Class 1,Service Class 2,Service Class 3,Website URL,Address,Unit Number,Community,State,Zip Code,County,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Target Population 1,Target Population 2,Target Population 3,Age Range,Mission Statement,Additional Notes,Date Emailed,Date Called,Initials,,,,,,,,,,,,,,,,,,,
Generation Q North: Community Action Youth Programs,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.communityaction.us/our-groups-programs.html,154 Federal Street,,Greenfield,MA,01301,Franklin,413-774-7028,SAME PHONE ,GenQ@communityaction.us,,,,,,,"Community Action of the Franklin, Hampshire, and North Quabbin Regions is dedicated to promoting economic justice and improving the quality of life for people with lower incomes.",,,,,,,,,,,,,,,,,,,,,,,
Generation Q North: Community Action Youth Programs,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.communityaction.us/our-groups-programs.html,2 Conz Street,Maplewood Shops #34,Northampton,MA,01060,Hampshire,413-774-7028,,GenQ@communityaction.us,,,LGBTQ youth,,,,"Generation Q is a confidential social and support group for gay, lesbian, bisexual, transgender, queer, and questioning youth and their straight allies.",,,,,,,,,,,,,,,,,,,,,,,
GLAD (Gay and Lesbian Advocates and Defenders),Legal Services,,,,,,Other Professional Services,,,,,Legal Services,,,,,,,Hotline Support,,,http://www.glad.org/,30 Winter Street,Suite 800,Boston,MA,02108,Suffolk,(617) 426-1350,,,,,LGBTQ youth,,,,"Since 1978, GLAD's bold and effective advocacy has achieved scores of precedent-setting legal victories to end discrimination based on sexual orientation, HIV status, and gender identity and expression.",,,,,,,,,,,,,,,,,,,,,,,
GLBT Commission: City of Cambridge,Community Group,Government Entity,Awareness and Advocacy,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,Capacity Building,,,http://www.cambridgema.gov/glbt.aspx,795 Massachusetts Avenue,,Cambridge,MA,02139,Middlesex,617-349-3355,,glbtcommission@cambridgema.gov,,,LGBTQ youth,,,,"The mission of the Cambridge GLBT Commission is to advocate for a culture of respect and to monitor progress toward equality of all persons with regard to sexual orientation and gender identity. We are committed to promoting and monitoring policies and practices that have a positive effect on the health, welfare, and safety of all persons who live, visit, or work in the City of Cambridge with regard to sexual orientation and gender identity.",,,,,,,,,,,,,,,,,,,,,,,
GLBT Counseling Referral Service,Health and Mental Health,Hotline Services,,,,,Awareness,,,,,Hotline services,,,,,,,Hotline Support,,,,,,,MA,,Hampden,413-586-2627,,,,,LGBTQ youth,,,,A clearing house for quality LGBT-friendly clinicians across western MA,,,,,,,,,,,,,,,,,,,,,,,
GLBT DV Project,Community Group,Case Management,Domestic and Sexual Violence Services,,,,Para-professional support services,,,,,Case Management,,,,,,,Case Management,,,http://gmdvp.org/,,,Cambridge,MA,02139,Middlesex,617-354-6056,,mailto:clientservices@gmdvp.org,,,LGBTQ youth,,,,"To assist and support victims and survivors of domestic violence, focusing on GLBTQ communities, to bring about responsive public policy, and to increase access to culturally competent services",,,,,,,,,,,,,,,,,,,,,,,
GLBT Safe Space: United Teen Equality Center,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Center-Based Basic Living and Personal Care Supports, Training and Skills Development",,,http://www.utec-lowell.org/teenspace/resources,,,Lowell,MA,,Middlesex,"mailto:juan@utec-lowell.org,%20978-804-8227,%20Leslie%20Rivera%20978-812-9294",,,,,LGBTQ youth,,,,"Today, nationally recognized as a model youth development agency, UTEC's mission and promise is to ignite and nurture the ambition of our most disconnected youth to trade violence and poverty for social and economic success. We serve proven-risk youth from both Lowell and Lawrence, MA. ",,,,,,,,,,,,,,,,,,,,,,,
GLBTQ Domestic Violence Project,Health and Mental Health,Domestic and Sexual Violence Services,Hotline Services,,,,Para-professional support services,Awareness,Placement Services,,,Individual advocacy services,"Counseling, Therapy and Support",Hotline Services,Emergency Placement,,,,,,,http://www.glbtqdvp.org/aboutus/,955 Massachusetts Ave. PMB 131 ,,Cambridge,MA, 02139,Middlesex,617-354-6056,,,,,,,,,"The GLBTQ Domestic Violence Project provides free and confidential support and services for gay, lesbian, bisexual, transgender, and queer survivors of domestic and sexual violence. We work with victims and survivors to increase safety, security, and foster empowerment through direct services, education, and advocacy.","24-Hour DV Hotline: 800-832-1901
Sexual Assault Help Line: 617-779-2179
Legal Assistance: 617-779-2130",,,,,,,,,,,,,,,,,,,,,,
GLBTQA Youth Alliance Pride Zone,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,,34 Maplewood Shop,,Northampton,MA,01060,Hampshire,(413) 584-1116,Heather King,przone@valinet.com,,,LGBTQ youth,transgender youth,,under 21,The GLBTQA Youth Alliance is open to all youth aged 21 and under. We meet every Thursday from 7 to 8:30 p.m. During meeting times youth engage in a weekly check-in and then move on to either discussions that have come up during the check-in time or other discussions and/or trainings that youth have decided upon as a group.,,,,,,,,,,,,,,,,,,,,,,,
GLSEN Massachusetts,Community Group,Awareness and Advocacy,"Education, Training and Employment",,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,"Community Prevention, Education and Outreach",,,http://glsen.org/chapters/massachusetts,,,Boston,MA,02205,Suffolk,../AppData/Local/Microsoft/Documents%20and%20Settings/hhussey/Local%20Settings/Temporary%20Internet%20Files/OLK6C/tel/%28617%29%20684-5736,,mailto:massachusetts@chapters.glsen.org,,,LGBTQ youth,,,,"The Gay, Lesbian & Straight Education Network strives to assure that each member of every school community is valued and respected regardless of sexual orientation or gender identity/expression.We believe that such an atmosphere engenders a positive sense of self, which is the basis of educational achievement and personal growth. Since homophobia and heterosexism undermine a healthy school climate, we work to educate teachers, students and the public at large about the damaging effects these forces have on youth and adults alike.",,,,,,,,,,,,,,,,,,,,,,,
Greater Boston PFLAG,Community Group,Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education and Outreach",,,http://www.gbpflag.org/,85 River Street,Suite 3A,Waltham,MA,02453,Middlesex,781-891-5966,,info@gbpflag.org,,,parent,family,ally,,"Greater Boston PFLAG works to create environments of understanding so that all people can live with dignity and respect through support, education and advocacy.",,,,,,,,,,,,,,,,,,,,,,,
"Greenfield GLASS (Gay, Lesbian and Straight Society)",Community Group,Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,,,,Greenfield,MA,,Franklin,"mailto:GLASS@fcac.net,%20413.774.7028",,GLASS@fcac.net,,,LGBTQ youth,,,,"This is a safe space to hang out at, make new friends, and relax. They have a darkroom, computer stations, a library, a TV room, and a kitchen where you can grab a bite to eat. They have a staff of full-time professionals to offer support and resources. ","<-- THIS WAS TAKEN FROM A DIFFERENT WEBSITE, NEED TO DEFINITELY VERIFY THAT THIS IS ACCURATE",,,,,,,,,,,,,,,,,,,,,,
Hampshire College Queer Community Alliance,Community Group,Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.hampshire.edu/studentlife/queercommunityalliancenter.htm,893 West Street,,Amherst,MA,01002,Hampshire,413.559.6234,Emily Rimmer,erimmer@hampshire.edu,,,LGBTQ youth,,,college,"The Queer Community Alliance Center (QCAC) began as a student group, and in 1992 it became an institutionalized part of the College. The QCAC is a part of the department of Community Advocacy in the division of Student Life. The QCAC is overseen by Hampshire College Queer Services, and strives to support a vibrant and intentional LGBTQ+ community by offering support and affirmation around gender, sexuality and intersecting identities.",,,,,,,,,,,,,,,,,,,,,,,
Harvard QRC (Queer Resource Center,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",Higher Education Organization,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.hcs.harvard.edu/~harvardqrc/index.html,Harvard Yard,Thayer Hall,Cambridge,MA,02138,Middlesex,,,harvardqrc@gmail.com,,,LGBTQ youth,,,college student,"A student-run organization at Harvard College, the Queer Resource Center provides a comfortable, open place on campus for Harvard undergraduates to hang out, convene, and enjoy LGBTQ resource",,,,,,,,,,,,,,,,,,,,,,,
Harvard QSA (Queer Students and Allies),Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",Higher Education Organization,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education and Outreach",,,http://www.hcs.harvard.edu/~qsa/,,,Cambridge,MA,02138,Middlesex,,,HarvardQSA@gmail.com,,,LGBTQ youth,,,college student,,"WEBSITE NOT FUNCTIONING, NEED TO LOOK AT AGAIN",,,,,,,,,,,,,,,,,,,,,,
Health Quarters,Health and Mental Health,Screening and Testing,Sexual Health,Primary Care Services,,,Health Care,Diagnostics,,,,Primary Care Services,Other Health Care Provider Services ,Medical Screening and Testing,,,,,,,,http://www.healthq.org/,900 Cummings Center,Suite 126-R,Beverly,MA,01915,Essex,978-922-4490,,info@healthq.org,,,LGBTQ youth,,,,"Health Quarters offers an environment free of discrimination.  We work with people of all different sexual orientations, gender identities and gender expressions.  And we respect each individual’s life choices.  We’re proud to provide high quality, affordable sexual health care, treating all patients with an equal level of respect and dignity.",,4/10/2014,,AD,,,,,,,,,,,,,,,,,,,
Health Quarters,Health and Mental Health,Screening and Testing,Sexual Health,Primary Care Services,,,Health Care,Diagnostics,,,,Primary Care Services,Other Health Care Provider Services,Medical Screening and Testing,,,,,,,,http://www.healthq.org/,215 Summer Street,Suite 16,Haverhill,MA,01830,Essex,978-521-4444,,info@healthq.org,,,LGBTQ youth,,,,"Health Quarters offers an environment free of discrimination.  We work with people of all different sexual orientations, gender identities and gender expressions.  And we respect each individual’s life choices.  We’re proud to provide high quality, affordable sexual health care, treating all patients with an equal level of respect and dignity.",,4/10/2014,,AD,,,,,,,,,,,,,,,,,,,
Health Quarters,Health and Mental Health,Screening and Testing,Sexual Health,Primary Care Services,,,Health Care,Diagnostics,,,,Primary Care Services,Other Health Care Provider Services,Medical Screening and Testing,,,,,,,,http://www.healthq.org/,101 Amesbury Street,Suites 106 &107,Lawrence,MA,01840,Essex,978-681-5258,,info@healthq.org,,,LGBTQ youth,,,,"Health Quarters offers an environment free of discrimination.  We work with people of all different sexual orientations, gender identities and gender expressions.  And we respect each individual’s life choices.  We’re proud to provide high quality, affordable sexual health care, treating all patients with an equal level of respect and dignity.",,4/10/2014,,AD,,,,,,,,,,,,,,,,,,,
Hispanic Black Gay Coalition,Community Group,Awareness and Advocacy,,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,"Community Prevention, Education and Outreach",,,http://www.hbgc-boston.org,485 Columbus Ave,,Boston,MA,02118,Suffolk,617-487-4242,,mailto:Info@HBGC-Boston.org,,,LGBTQ youth,,,,"Hispanic Black Gay Coalition (HBGC) is one of few non-profit organizations in Boston dedicated to the unique and complex needs of the Black, Hispanic and Latin@ LGBTQ community. Founded in 2009, we work to inspire and empower Latin@, Hispanic and Black LGBTQ individuals to improve their livelihood through activism, education, community outreach, and counseling.",,,,,,,,,,,,,,,,,,,,,,,
Holyoke Equal Rights Association (HERA),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education, and Outreach",Child/Adolescent Community Based Social Skills and Recreation,,http://youthtaskforce.org/youth/h-e-r-a-2/,6 Open Square Way,,Holyoke,MA,01040,Hampden,413-532-6247 x103,Amy Epstein,aepstein@girlsincholyoke.org,,,LGBTQ youth,,,,"H.E.R.A. provide Holyoke’s LGBTQ youth and their allies a safe and bully free space, in where they can be themselves, receive safer sex information, develop their leadership, and more",,,,,,,,,,,,,,,,,,,,,,,
Holyoke Health Center,Health and Mental Health,Sexual Health,Primary Care Services,Screening and Testing,Dental Services,"Counseling, Therapy, Psychological and Psychiatric Services",Health Care, Behavioral Health Services,Diagnostics,,,"Primary Care Services, ",Psychiatric Services,Dental Services,Other Health Care Provider Services,Clinical Counseling,Behavioral Counseling,Medical Screening and Testing,"Clinical and Medical Counseling, Therapy, and Treatment",Clicinical and Medical Diagnostics,Individual Primary Care Wellness,http://www.hhcinc.org/en/,230 Maple Street,,Holyoke,MA,01040,Hampden,413-420-2200,,,,,LGBTQ youth,transgender youth,,,"Our mission at the Holyoke Health Center is to “Improve the health of our patients through affordable, quality health care and comprehensive community-based programs to create a healthy community.""",,,,,,,,,,,,,,,,,,,,,,,
Hyde Square Task Force,Community Group,Awareness and Advocacy,,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,"Community Prevention, Education and Outreach",,,http://www.hydesquare.org/,375 Centre Street,,Jamaica Plain,MA,02130,Suffolk,617-524-8303,,mailto:info@hydesquare.org,,,LGBTQ youth,,,,"Hyde Square Task Force was founded by a group of committed local residents and youth in order to address daily pressing challenges including violence and lack of resources for youth and families. From organizing to create more systemic accountability to creating programs that fulfill immediate needs, we have always believed that solutions lie with those most affected. ",,,,,,,,,,,,,,,,,,,,,,,
"Independence House, Inc.",Health and Mental Health,Domestic and Sexual Violence Services,Hotline Services,,,,Para-professional support services,Awareness,Placement Services,,,"Counseling, Therapy and Support",Hotline Services,Emergency Placement,,,,,,,,http://indhouse.net/,160 Bassett Lane,,Hyannis,MA,02601,,508-771-6507,,,,,,,,,"Our Mission is to help all domestic violence and sexual assault victims, survivors and their children by creating opportunities to find safety and become empowered through crisis intervention, advocacy, counseling, referral, outreach, education and inspiring change in our community.",,,,,,,,,,,,,,,,,,,,,,,
"Independence House, Inc.",Health and Mental Health,Domestic and Sexual Violence Services,Hotline Services,,,,Para-professional support services,Awareness,Placement Services,,,"Counseling, Therapy and Support",Hotline Services,Emergency Placement,,,,,,,,http://indhouse.net/,222 Main Street,,Falmouth,MA,02601,,508-771-6507,,,,,,,,,"Our Mission is to help all domestic violence and sexual assault victims, survivors and their children by creating opportunities to find safety and become empowered through crisis intervention, advocacy, counseling, referral, outreach, education and inspiring change in our community.",,,,,,,,,,,,,,,,,,,,,,,
"Independence House, Inc.",Health and Mental Health,Domestic and Sexual Violence Services,Hotline Services,,,,Para-professional support services,Awareness,Placement Services,,,"Counseling, Therapy and Support",Hotline Services,Emergency Placement,,,,,,,,http://indhouse.net/,57 Route,6A,Orleans,MA,02653,,508-771-6507,,,,,,,,,"Our Mission is to help all domestic violence and sexual assault victims, survivors and their children by creating opportunities to find safety and become empowered through crisis intervention, advocacy, counseling, referral, outreach, education and inspiring change in our community.",,,,,,,,,,,,,,,,,,,,,,,
"Independence House, Inc.",Health and Mental Health,Domestic and Sexual Violence Services,Hotline Services,,,,Para-professional support services,Awareness,Placement Services,,,"Counseling, Therapy and Support",Hotline Services,Emergency Placement,,,,,,,,http://indhouse.net/,2 Mayflower Ct.,,Provincetown,MA,02657,,508-771-6507,,,,,,,,,"Our Mission is to help all domestic violence and sexual assault victims, survivors and their children by creating opportunities to find safety and become empowered through crisis intervention, advocacy, counseling, referral, outreach, education and inspiring change in our community.",,,,,,,,,,,,,,,,,,,,,,,
"J. Michael Rowan, MSW, LICSW",Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling;Other Professional Counseling and Therapy,,,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,,,,Greenfield,MA,01302,Hampshire,(413) 773-5420,SAME PHONE,Email@RowanPsychotherapy.com,,,LGBTQ youth,transgender youth,,,,DOESN'T HAVE OWN WEBSITE,,,,,,,,,,,,,,,,,,,,,,
"J. Michael Rowan, MSW, LICSW",Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling;Other Professional Counseling and Therapy,,,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,,,,Easthampton,MA,01027,Hampshire,(413) 773-5420,,Email@RowanPsychotherapy.com,,,LGBTQ youth,transgender youth,,,,DOESN'T HAVE OWN WEBSITE,,,,,,,,,,,,,,,,,,,,,,
"Joanna Frost, MSW, LICSW",Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling, Behavioral Counseling,Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.joannafrost.com/Joanna_Frost/Welcome.html,700 Main Street,,Holyoke,MA,01040,Hampden,413-534-3033,Joanna Frost,joannafrst@yahoo.com,,,LGBTQ youth,transgender youth,,,"An independent Licensed Clinical Social Worker providing a range of services, including those related to gender identity",,,,,,,,,,,,,,,,,,,,,,,
Jorge Silva ,Health and Mental Health,Endocrinologist,,,,,Health Care,,,,,Other Health Care Provider Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,"Bay State Medical Center

3300 Main St, Suite 3A

Springfield, MA 01199",,,Springfield,MA,,Hampden,413-794-7031,Jorge Silva,,,,,,,,"Info from organization name:  NEED TO VERIFY (new Number, other location of N Main St)   2.jay haver F) practice manager and hiv aids NP kristin benjamin 794-7421 and 530 4918",,,,,,,,,,,,,,,,,,,,,,,
"Journeys of Hope, Inc.",Community Group,Case Management,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,Case management,"Para-professional Counseling, Therapy, and Support",,,,,,Child/Adolescent Community Based Social Skills and Recreation,,,http://johma.org/,211 Bridge Street,,Salem,MA,01970,Essex,../AppData/Local/Microsoft/Documents%20and%20Settings/hhussey/Local%20Settings/Temporary%20Internet%20Files/OLK6C/tel/978-500-7478,Phil Hayes,phayes.journeysofhope@gmail.com﻿,,,homeless youth,,,18-23,"Journeys of Hope, Inc. is a non-profit organization on the North Shore of Boston, serving homeless and at-risk young adults between the ages of 18 to 23. The goal is to assist this age group to move from a homeless lifestyle to one of sustained shelter through a productive lifestyle.",,,,,,,,,,,,,,,,,,,,,,,
Julie Dialessi-Lafley,Legal Services,,,,,,Other Professional Services,,,,,Legal Services,,,,,,,Legal Protective Services,,,http://www.baconwilson.com/attorneys/dialessi-lafley,33 State St,"Bacon Wilson, Attorneys at Law",Springfield,MA,01103,Hampden,413-781-0560,Julie Dialessi-Lafley,JDialessi-lafley@BaconWilson.com,,,,,,,"My philosophy is that I am here for my clients and it should not be the other way around. I strive to service my clients in the most professional and efficient manner from both a time and cost perspective, while ultimately achieving the desired end result.  By establishing long term relationships with my clients and with the community through civic involvement, I am able to give back to each individual and the community as a whole.",,,,,,,,,,,,,,,,,,,,,,,
K-Street Recovery,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.k-street.com/,74 Kilmarnock Street,,Boston,MA,02115,Suffolk,(617) 777-0702,,mailto:chairperson@k-street.com,,mailto:secretary@k-street.com,LGBTQ youth,,,,"Safe meeting space for LGBT individuals seeking recovery from addition, abuse, or discrimination",,,,,,,,,,,,,,,,,,,,,,,
Keshet Parent and Family Connection,Community Group,Legal Services,,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education and Outreach",,,http://www.keshetonline.org/program/support-families/,284 Amory Street,,Jamaica Plain,MA,02130,Suffolk,617.524.9227,,http://www.keshetonline.org/,,,LGBTQ youth,parent,family,,"We are parents and family members of LGBTQ (lesbian, gay, bisexual, transgender, and queer) Jews who are coming together to transform the Jewish community through peer support, public events, and advocating for institutional change. We come from all streams of the Jewish world, have children of all genders and sexual orientations, and are driven by personal journeys of struggle and celebration.",,,,,,,,,,,,,,,,,,,,,,,
Kimberly Browne-Martin,Health and Mental Health,Endocrinologist,,,,,Health Care,,,,,Other Health Care Provider Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://baystatehealth.com/Baystate/bmc,2 Medical Center Drive,Suite 210,Springfield,MA,01107,Hampden,413-734-4661,Kimberly Browne-Martin,,,,LGBTQ youth,transgender youth,,,,Endocrinologist at Baystate Medical Center; CANNOT FIND HER WEBSITE. ,,,,,,,,,,,,,,,,,,,,,,
Kyle Guelcher,Legal Services,,,,,,Other Professional Services,,,,,Legal Services,,,,,,,Legal Protective Services,,,http://www.esq50.com/,45 Willow Street,Suite 321,Springfield,MA,01103,Hampden,413-781-4800,Kyle Guelcher,,,,LGBTQ youth,transgender youth,,,"Attorney Kyle R. Guelcher stands by clients and offers vigorous, powerful representation in a variety of areas of law including General Civil Litigation, Business Legal Services, Consumer Law, Intellectual Property Law, Entertainment Law, and many other additional areas of practice",,,,,,,,,,,,,,,,,,,,,,,
La Voz,Health and Mental Health,Screening and Testing,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Behavioral Health Services,"Health Care,  ",Diagnostics,,,Clinical Counseling, Other Professional Counseling and Therapy,Other Health Care Provider Services,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/index.php/services/prevention/la-voz,130 Maple Street,Lower Level,Springfield,MA,01103,Hampden,(413) 363-9472,,,,,,,,,Tapestry Health's La Voz Program provides neighborhood-centered public health interventions to high risk and underserved populations,,,,,,,,,,,,,,,,,,,,,,,
Latin American Health Institute,Health and Mental Health,Substance Abuse Services,Case Management,"Counseling, Therapy, Psychological and Psychiatric Services",HIV and AIDS services,,Behavioral Health Services,Para-professional Support Services,,,,Clinical Counseling,Substance Abuse Services,Other Professional Counseling and Therapy,Service Coordination/Case management,,,,"Community Prevention, Education and Outreach",LGBTQ youth,,http://www.lhi.org/Homepage.aspx,142 Crescent Street,Second Floor,Brockton,MA,02302,Plymouth,508 941-0005,Ginny Mercure,ginny@lhi.org,,,LGBTQ youth,,,,Pubilc Health/ HIV Services for Latin American community,,,,,,,,,,,,,,,,,,,,,,,
Latin American Health Institute,Health and Mental Health,Case Management,Higher Education Organization,Substance Abuse Services,"Counseling, Therapy, Psychological and Psychiatric Services",HIV and AIDS services,Behavioral Health Services,Para-professional Support Services,,,,Clinical Counseling,Substance Abuse Services,Other Professional Counseling and Therapy,Service Coordination/Case management,,,,"Community Prevention, Education and Outreach",,,http://www.lhi.org/Homepage.aspx,9 Central Street,,Lowell,MA,01852,Middlesex,978 459-3366,,lowell@lhi.org,,,LGBTQ youth,,,,Pubilc Health/ HIV Services for Latin American community,,,,,,,,,,,,,,,,,,,,,,,
Latin American Health Institute,Health and Mental Health,Case Management,Higher Education Organization,Substance Abuse Services,"Counseling, Therapy, Psychological and Psychiatric Services",HIV and AIDS services,Behavioral Health Services ,Para-professional Support Services,,,,Clinical Counseling,Substance Abuse Services,Other Professional Counseling and Therapy,Service Coordination/Case management,,,,"Community Prevention, Education and Outreach",,,http://www.lhi.org/Homepage.aspx,95 Berkeley Street,,Boston,MA,02116,Suffolk,(617) 350-6900,,mailto:boston@lhi.org,,,LGBTQ youth,,,,Pubilc Health/ HIV Services for Latin American community,,,,,,,,,,,,,,,,,,,,,,,
lgbt @ MIT (including Rainbow Lounge),Higher Education Organization,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://lbgt.mit.edu/,142 Memorial Drive,Walker Memorial Basement 50-005,Cambridge,MA,02139,Middlesex,(617) 253-5440,,lbgt@mit.edu,,,LGBTQ youth,transgender youth,,college student,"MIT and its surrounding communities offer a broad spectrum of services, activities, and resources for lesbian, gay, bisexual, transgender (LGBT), questioning, and supportive individuals.",,,,,,,,,,,,,,,,,,,,,,,
LGBT Associates of Western Mass:  Dr. Shelley Janiczek Woodson and Dr. Brett-Genny Janiczek Beemyn,Community Group,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Behavioral Health Services,,,,,Clinical Counseling,Other Professional Counseling and Therapy,,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.masstherapist.com/LGBTQQIAServices.en.html,183 West State Street,,Granby,MA,01033,Hampshire,413-222-0998,,mailto:thebeemyns@gogtt.net,,info@masstherapist.com,LGBTQ youth,transgender youth,,,"In consultation with our team of  professional associates, we offer a wide range of expert counseling, consultation and referral services. We specialize in assisting and supporting gender-variant people of all ages, and in working with bisexual people.",,,,,,,,,,,,,,,,,,,,,,,
LGBT Coalition of Western Mass,Community Group,Awareness and Advocacy,,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://www.lgbtcoalitionwma.org/,32 Industrial Drive East,,Northampton,MA,01060,Hampshire,413-588-1018,,,,,LGBTQ youth,,,,"By offering a multitude of services using innovative advocacy, community outreach programs and events, referral services and more, the Coalition strives to build stronger communities and families by bridging the gaps that exist between members of the LGBT community itself and mainstream society.",,,,,,,,,,,,,,,,,,,,,,,
LGBT Jews & Allies,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://umass.hillel.org/home.aspx,388 North Pleasant Street,,Amherst,MA,01002,Hampshire,,,esobel@student.umass.edu,,tlaster@student.umass.edu,LGBTQ youth,,,,"We are an inclusive group at UMass that supports and programs for lesbian, gay, bisexual, transgender, and queer rights along with being Jewish.",,,,,,,,,,,,,,,,,,,,,,,
Liberty Street Clinic,Community Group,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Health Care,Behavioral Health Services,,,,Psychiatric Services,Behavioral Counseling,Clinical counseling,Primary Care Services,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://bhninc.org/content/bhn-liberty-street-clinic,417 Liberty Street,,Springfield,MA,01104,Hampden,"413-301-9335 (Michelle)

413-301-9476 (Madeline)

413-301-9461 (John)

413-301-9465 (Lindsay)","Michelle Marchese;

Madeline Nussbaum;

John Danie Ritchie;

Lindsay Davison",,,,LGBTQ youth,,,,,Psychotherapy services,,,,,,,,,,,,,,,,,,,,,,
Life Course Counseling Center,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",Substance Abuse Services,,,,Behavioral Health Services,,,,,Clinical Counseling,Substance Abuse Services,Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.lifecourse.net,,,Northampton,MA,01061,Hampshire,(413) 585-1655,,,,,LGBTQ youth,transgender youth,,,"LifeCourse Counseling Center was established in 1980 and provides LGBTQI people therapy, counseling, psychotherapy, consultation and education throughout the Pioneer Valley of Western Mass and telephone and web cam therapy nation-wide.",,,,,,,,,,,,,,,,,,,,,,,
