Organization	NEW Search Category	NEW Search Category 2	Search Category 1	Search Category 2	Search Category 3	Search Category 4	Search Category 5	Search Category 6	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Service Class 1	Service Class 2	Service Class 3	Website URL	Address	Unit Number	City	State	Zip Code	County	Phone Number	Contact Name 1	Contact Email 1	Contact Name 2	Contact Email 2 (NOT FOR PUBLIC USE)	Target Population 1	Target Population 2	Target Population 3	Min Age	Max Age	Mission Statement	Languages Spoken	Wheelchair Accessible?	Insurance Accepted	Additional Notes
PFLAG Easton	Community & Social Support		Community Group	Education, Training, and Employment	Education, Training, and Employment				Para-professional Support Services			Para-professional Counseling, Therapy and Support	Community Outreach, Education and Engagement						Community Prevention, Education and Outreach				9 Main Street		North Easton	MA	02356-1498	Bristol	(508) 238-6373		PFLAGeaston@comcast.net -  EMAIL DOES NOT WORK			Family	Allies	LGBTQ			PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.				
PFLAG Franklin-Hampshire	Community & Social Support		Community Group	Education, Training, and Employment	Education, Training, and Employment				Para-professional Support Services			Para-professional Counseling, Therapy and Support	Community Outreach, Education and Engagement						Community Prevention, Education and Outreach				53 Elm Street		Shellbourne Falls	MA	01370	Franklin	(413) 625-6636		jcmalinski48@gmail.com			Family	Allies				PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.				
PFLAG Lee/ Berkshire	Community & Social Support		Community Group	Education, Training, and Employment	Education, Training, and Employment				Para-professional Support Services			Para-professional Counseling, Therapy and Support	Community Outreach, Education and Engagement						Community Prevention, Education and Outreach							MA		Berkshire	(413) 243-2382	Judy Nardacci 	mssenn29@gmail.com			Family	Allies	LGBTQ			PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.	English	Depends on meeting location	N/A	Many PFLAG locations have regular support group meetings. There is no meeting in Berkshire County at this time, but I am always available by phone for confidential support and printed resources are available through our national office: www.pflag.org.
PFLAG Northampton	Community & Social Support		Community Group	Awareness and Advocacy	Education, Training, and Employment				Awareness			Para-professional Counseling, Therapy and Support	Community Outreach, Education and Engagement						Community Prevention, Education and Outreach				320 Riverside Drive	Highland Valley Elder Services, Cutlery Building	Northampton	MA	01062	Hampshire	(413) 625-6636		jcmalinski48@gmail.com			LGBTQ	Family	Allies			PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.				
Greater Worcester PFLAG	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support	Community Outreach, Education and Engagement						Community Prevention, Education and Outreach			http://www.worcesterpflag.org/index.html	4 Mann Street		Worcester	MA	01602	Worcester	(508) 631-2699	Laura Farnsworth	pflagworcester@iname.com			Family	LGBTQ	Allies	18		PFLAG of Greater Worcester promotes the health and well-being of gay, lesbian, bisexual and transgender people, their families and friends through: Support, to cope with an adverse society; Education, to enlighten an ill-informed public; and Advocacy, to end discrimination and to secure equal civil rights. PFLAG provides opportunity for dialogue about sexual orientation and gender identity and acts to create a society that is healthy and respectful of human diversity. 	English, Spanish	Yes	N/A	
PFLAG Reading	Community & Social Support		Community Group	Education, Training, and Employment					Para-professional Support Services			Para-professional Counseling, Therapy and Support	Community Outreach, Education and Engagement						Community Prevention, Education and Outreach				Unitarian Universalist Church Loring House, 211 Summer Avenue		Reading	MA	02356-1498	Middlesex			pflagreading@aol.com			Family	Allies	LGBTQ			PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.				
Project HIP-HOP	Community & Social Support		Community Group						Para-professional Support Services	Awareness		Recreation Services	Community Outreach, Education and Engagement						Community Prevention, Education and Outreach			http://www.projecthiphop.org/	2181 Washington Street	Suite 315	Roxbury	MA	02119	Suffolk	(617) 427-7950		info@projecthiphop.org			LGBTQ					Project HIP-HOP (Highways Into the Past – History, Organizing and Power) is a youth-led organization that works at the intersection of arts and organizing. Our mission is to teach the hip hop generation how to use hip hop as a cultural tool to educate and motivate our community.				
Quabbin Mediation	Mental Health		Health and Mental Health																			http://www.quabbinmediation.org/	13 South Main Street		Orange	MA	01364	Franklin	(978) 544-6142 		info@quabbinmediation.org												
Queer Asian Pacific-Islander Alliance	Training & Advocacy		Education, Training, and Employment	Community Group					Para-professional Support Services	Training and Educational Activities		Awareness and Advocacy										http://qapa.org/				MA					qapa@qapa.org			LGBTQ					QAPA is committed to providing a supportive social, political, and educational environment for lesbian, gay, bisexual, trans*, and questioning people of Asian and Pacific Islander heritage in the Boston and New England area.				
Queer Women of Color and Friends (QWOC+ Boston) 	Community & Social Support		Community Group	Awareness and Advocacy					Para-professional Support Services			Awareness and Advocacy										qwocboston.org			Boston	MA		Suffolk			events@qwocboston.org			LGBTQ	POC				Queer Women of Color and Friends (QWOC+ Boston) is a volunteer-run, grassroots organization dedicated to creating and sustaining a truly diverse social space for LGBTQ women of color in the Greater Boston area. 				
Reflect and Strengthen	Community & Social Support		Community Group	Education, Training, and Employment					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Direct Prevention, Outreach and Stabilization Services			http://www.reflectandstrengthen.org/	614 Columbia Road		Dorcester	MA	02125	Suffolk	(617) 442-2355		rands@reflectandstrengthen.org			LGBTQ			14	30	Reflect and Strengthen (R&S) is a grassroots collective of young working class women from the urban neighborhoods of Boston who take a holistic approach to organizing to create personal and social transformation. Our programming focuses are political education, healing form trauma, creative expression, community building and campaign work to end racial disparities in the juvenile justice system.				
Robert Weitzman, M.D.  	Physical Health		Health and Mental Health	Other Specialist: Electrolysis					Other Professional Services					Other Health Care Provider Services								www.amherstlaser.com 	Amherst Laser and Skin Care Center, 196 North Pleasant Stree 		Amherst	MA	01002 	Hampshire	(413) 253-2214 		info@amherstlaser.com 			Transgender									
Rosie's Place	Employment & Housing Services		Housing and Shelter Services	Education, Training, and Employment					Placement Services	Basic Support	Para-professional Support Services	Placement Services and Supports										www.rosiesplace.org	889 Harrison Avenue		Boston	MA	02118	Suffolk	(617) 442-9322		webmaster@rosiesplace.org	Michele Chausse (617) 318-0210	mchausse@rosiesplace.org	LGBTQ	Transgender	Allies	18		To provide a safe and nurturing environment to help poor and homeless women maintain their dignity, seek opportunity and find security in their lives. 	English, Spanish, Portuguese, French - Creole	Yes	N/A	From Help Steps Website
Roxbury Youthworks—Gaining Independence for Tomorrow Program (GIFT)	Mental Health		Counseling, Therapy, Psychological and Psychiatric Services	Case Management					Para-professional Support Services			Individual Advocacy Services							Clubhouse			http://www.roxburyyouthworks.org/			Dorcester	MA	02124	Suffolk	(617) 427-8095	Celenia Toledo (617) 427-8095 ext 223	mailto:ctoledo@roxburyyouthworks.org			LGBTQ			13	22	Roxbury Youthworks provides intensive Life Coaching to victims of commercial sexual exploitation.	English, Spanish, Portuguese	Yes	N/A	
Safe Homes of Central Massachusetts / The Bridge	Community & Social Support		Community Group	Drop-in Center					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Child/ Adolescent/ Young Adult Intermediate-Term Stabilization	Clubhouse		http://www.safehomesma.org/	4 Mann Street		Worcester	MA	01602	Worcester	(508) 755-0333	Laura Farnsworth	safehomes@thebridgecm.org			LGBTQ	Allies		14	23	Safe Homes is a program for gay, lesbian, bisexual, transgender, and questioning young people between the ages of 14 and 23. Led by youth and professional staff, as well as volunteer adult advisers. We offer support and resources in a safe and nurturing environment.				Drop-in hours Thursdays 6:30-9:00pm
Safe Passage	Mental Health		Community Group	Domestic and Sexual Violence Services	Counseling, Therapy, Psychological and Psychiatric Services	Legal Services	Hotline Services		Para-professional Support Services			Awareness and Advocacy	Hotline Services						Direct Prevention, Outreach and Stabilization Services			http://www.safepass.org	43 Center Street	Suite 304	Northampton	MA	01060	Hampshire	(413) 586-1125 (office); (413) 586-5066 (hotline)		info@safepass.org	Marianne Winters, Executive Director (413) 586-1125 ext 20 	marianne@safepass.org	LGBTQ					Safe Passage is committed to ending domestic violence and oppression in women's lives. All Safe Passage programs are free, accessible and confidential. Our comprehensive services include shelter, peer-support, counseling, education, advocacy, legal support and community education.	English, Spanish, We have translators for other languages.	Yes	N/A	FeiFei emailed and called.  Ashlynn updated the info here based on her conversation on 5/12
Saint Anne's Episcopal Church	Faith Based Organization		Faith Based Organization						Para-professional Support Services													www.stanneslowell.org	8 Kirk St.		Lowell	MA	01852	Middlesex	(978) 452-2150		office@stanneslowell.org								Believing that God calls us to love and serve, the mission of St. Anne’s Church is to restore all people to unity with God and each other in Christ, through service, worship, evangelism, education and pastoral care.				
Saint Paul's Episcopal Cathedral	Faith Based Organization		Faith Based Organization						Para-professional Support Services 													http://stpaulboston.org/	138 Tremont Street		Boston	MA	02111	Suffolk	(617) 482-5800		cathedral@diomass.org								The Cathedral functions as the center of mission for the Diocese. As such, we offer liturgy and music in the best of the Anglican tradition–past and present. The Cathedral is a site of gatherings of leaders from throughout the Diocese and community. Amid the very active life of the Episcopal Diocese of Massachusetts, one of the largest in the United States, the Cathedral’s doors remain open to all, with scheduled worship and quiet sanctuary available nearly every day. More than a building, we continue to uphold our mission as a house of prayer for all people.				
Salem Family Health Center (Health Quarters) 	Physical Health		Health and Mental Health	Government Entity	Screening and Testing	Sexual Health Services			Health Care	Diagnostics		Other Health Care Provider Services 	Medical Screening and Testing									http://www.healthq.org/	47 Congress Street		Salem	MA	01970	Essex	(978) 744-8388		info@healthq.org	Ruth Price	ruthp@healthq.org	LGBTQ					Welcome to Health Quarters, a provider of confidential reproductive healthcare, prevention, and education services for women, men, and teens on the North Shore and Merrimack Valley of Massachusetts.  Our friendly, approachable, bi-lingual providers are knowledgeable and focused on delivering the highest level of health and counseling services using the most modern procedures and services. :	English, Spanish	Yes (but no low/high exam tables yet)	MassHealth, Medicaid, Medicare, Private health insurance, Sliding fee scale--do not deny access to services.	
Samaritan's	Mental Health		Suicide Prevention 	Hotline Services					Awareness	Para-professional Support Services		Hotline services							Helpline			http://samaritanshope.org/	41 West Street	4th Floor	Boston	MA	02111	Suffolk	(617) 536-2460 		info@samaritanshope.org	Ron White	rwhite@samaritanshope.org	LGBTQ	Allies	Family			Samaritans’ mission is to reduce the incidence of suicide by alleviating despair, isolation, distress and suicidal feelings among individuals in our community, 24 hours a day; to educate the public about suicide prevention; and to reduce the stigma associated with suicide. We accomplish this through services that emphasize confidential, non-judgmental, and compassionate listening.	English	The majority of our services do not require coming to our offices - but our SafePlace support groups for those who have lost someone to suicide are wheelchair accessible	N/A	
Second Congregational Church	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://www.secondchurchboxford.org/	173 Washington Street		Boxford	MA	01885	Essex	(978) 352-2127		ona@secondchurchboxford.org	Rick Goodrich	office@secondchurchboxford.org						We believe in a loving, forgiving, and merciful God who is creator and sustainer of all.	English	Yes	N/A	
Sidney Borum Jr. Health Center			Health and Mental Health	Primary Care  Services	Counseling, Therapy, Psychological and Psychiatric Services	Substance Abuse Services	Sexual Health Services	HIV and AIDS Services	Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Providers Services	Medical Screening and Testing	Clinical Screening and Testing	Clinical Counseling	Behavioral Counseling	 Substance Abuse Services	Clinical and Medical Counseling, Therapy, and Treatment			http://sidneyborum.org/	75 Kneeland Street		Boston	MA	02111	Suffolk	(617) 457-8140		mailto:%20information@fenwayhealth.org			LGBTQ	Transgender		12	29	At the Borum, we offer quality, open care to young adults ages 12–29 who need a health center that really gets them.	English, Spanish, We have translators for other languages.	Yes	MassHealth, Medicaid, Medicare, Private health insurance	
Somerville Office of the LGBT Liaison	Community & Social Support		Government Entity	Awareness and Advocacy					Awareness			Community Outreach, Education and Engagement							Case Management			http://www.ci.somerville.ma.us/departments/health/somerville-commissions/lgbt	50 Evergreen Avenue		Somerville	MA	02145	Middlesex	(617) 625-6600 ext. 2400		lgbtissues@somervillema.gov -  EMAIL DOES NOT WORK			LGBTQ	Allies	Family			The LGBT Liaison for the City of Somerville acts as the emissary between the Mayor’s Office and the lesbian, gay, bisexual and transgender communities of Somerville. The Office provides information, referral services, guidance, coordination, and technical assistance to the City and its residents on initiatives intended to serve the LGBT community. 				
South Church in Andover 	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://www.southchurch.com	41 Central Street		Andover	MA	01810	Essex	(978) 475-0321		scand@southchurch.com								We are a Christ-centered community that celebrates the love of God. Although we are of varied minds, we are one body, bound together in Christ. We recognize the uniqueness of every individual as God's beloved child. We seek to respond faithfully to God's call for justice for all creation. We strive in word and deed to be faithful to Jesus' model of loving acceptance. We seek to create a sanctuary where all will know they are welcomed and included. You are welcomed, no matter your age, gender, gender identity, gender expression, sexual orientation, marital status, race and ethnicity, physical and mental ability or economic circumstance, into the full life and ministry of South Church, including worship, sacraments and rites. Join us as we grow together in God's love.				
Spontaneous Celebrations	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.spontaneouscelebrations.org/	45 Danforth Street		Jamaica Plain	MA	02130	Suffolk	(617) 524-6373		mailto:admin@spontaneouscelebrations.org	George Lee, Youth Programs	mailto:george@spontaneouscelebrations.org	LGBTQ					Spontaneous Celebrations is Jamaica Plain's community arts headquarters, serving JP and Roxbury for over 30 years.				
SSHAGLY (South Shore Alliance of Gay and Lesbian Youth)	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support								LGBTQ youth		https://www.facebook.com/sshagly.southshore	24 River Street		Norwell	MA	02061	Plymouth	(781) 312-8073		Sshagly@gmail.com								SSHAGLY is a youth-led adult supported social support organization committed to create a safe haven where everyone feels welcome. 14 Years of age to 22 Years of age for the GLBT youth community.				
St. James Episcopal Church	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://www.stjamessomerville.org/	1170 Broadway		Somerville	MA	02144	Middlesex			clergy@stjamessomerville.org								Our liturgy might be described as “Broad-Middle”. We’re a parish that loves to sing. Our hymns come from The Hymnal 1982, the standard hymnal in the Episcopal Church, and from Lift Every Voice and Sing, a collection that draws upon the rich heritage of African-American hymnody. Our preaching is relevant and insightful. In addition to Rev’d. Dr. Karen Coleman, our priest, we have several theologically-trained lay-preachers who regularly bring their voices to the pulpit. Children are a vital part of our ministry at St. James. Our Sunday School meets during the first part of the service, after which the children join the rest of the congregation for the celebration of the Holy Eucharist. Children are encouraged to take communion if their parents are so inclined. During our weekly celebration of the Holy Communion, all are welcome to come to the Lord’s table, regardless of where they find themselves on their spiritual journeys. Your presence and participation in our worship would enrich all of us. In the name of the Risen Christ, we extend a warm welcome to everyone.				
St. John's Episcopal Church	Faith Based Organization		Community Group	Faith Based Organization					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Direct Prevention, Outreach and Stabilization Services			http://www.stjohnsnorthampton.org	48 Elm Street		Northampton	MA	01060	Hampshire	(413) 584-1757		stjohnsnorthampton@verizon.net			LGBTQ					We are a community of Christ at edge of the Smith College campus. 				Runs Alcholics Anonymous support group
St. Paul's Episcopal Church	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://www.stpaulsnorthandover.com/	390 Main Street		North Andover	MA	01845	Essex	(978) 683-0671		 stpaulsna@comcast.net								St. Paul’s is a joyful faith-based community of hope and worship proclaiming the good news of Jesus Christ. We invite all to join us in spiritual nurturing and growth through ministry and service, helping create God’s Kingdom on Earth.				
SWAGLY (Supporters of Worcester Gay and Lesbian Youth)	Community & Social Support		Community Group	Drop-in Center					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.aidsprojectworcester.org/	85 Green Street		Worcester	MA	01604	Worcester	(508) 755-3773, ext 36	Luis Cantres	mailto:swagly@aidsprojectworcester.org			LGBTQ					SWAGLY (Supporters of Worcester Area Gay Lesbian Bisexual Transgender Youth) is one of the oldest/longest running GLBT youth support organizations in Massachusetts. A youth-led, adult-supported, drop-in group, SWAGLY provides emotional and social support for GLBT youth in Worcester County. 				
Teen Empowerment	Employment & Housing Services		Community Group	Awareness and Advocacy	Education, Training, and Employment				Awareness	Employment	Para-professional Support Services	Community Outreach, Education and Engagement	Job Development and Placement	Para-professional Counseling, Therapy and Support					Clubhouse			http://www.teenempowerment.org/	165 Broadway		Somerville	MA	02145	Middlesex	(617) 625-6600 ext. 2256		danny@teenempowerment.org						14	21	The mission of the Center for Teen Empowerment is to empower youth and adults as agents of individual, institutional, and social change.				
Teen Empowerment	Employment & Housing Services		Community Group	Awareness and Advocacy	Education, Training, and Employment				Awareness	Employment	Para-professional Support Services	Community Outreach, Education and Engagement	Job Development and Placement	Para-professional Counseling, Therapy and Support					Clubhouse			http://www.teenempowerment.org/	21 Balfour Street		Dorcester	MA	02125	Suffolk	(617) 427-1488		mailto: sheri@teenempowerment.org						14	21	The mission of the Center for Teen Empowerment is to empower youth and adults as agents of individual, institutional, and social change.				
Teen Empowerment	Employment & Housing Services		Community Group	Awareness and Advocacy	Education, Training, and Employment				Awareness	Employment	Para-professional Support Services	Community Outreach, Education and Engagement	Job Development and Placement	Para-professional Counseling, Therapy and Support					Clubhouse			http://www.teenempowerment.org/	384 Warren Street		Roxbury	MA	02119	Suffolk	(617) 536-4266 		willmoy@teenempowerment.org						14	21	The mission of the Center for Teen Empowerment is to empower youth and adults as agents of individual, institutional, and social change.				
Temple Beth Avodah- UNSURE	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://www.bethavodah.org/	45 Puddingstone Lane		Newton Centre	MA	02459	Middlesex	(617) 527-0045 	Elise Hyman	ehyman@bethavodah.org								Our mission at Temple Beth Avodah is one of a vibrant Reform Jewish Congregation that honors and upholds Jewish values and traditions. Through prayer, ritual, learning, and social action, we seek spiritual growth and connection to God, the Jewish people, to Israel, and to one another. 	English	Yes	N/A	
Temple Emanuel of Andover  - NOT TRANS COMPETENT	Faith Based Organization		Faith Based Organization						Para-professional Support Services													www.templeemanuel.net	7 Haggetts Pond Road		Andover	MA	01810	Essex	(978) 470-1356		info@templeemanuel.net	Trish Grant (978) 470-1356	pgrant@templeemanuel.net						We are a Reform congregation that believes in the ever-developing progressive evolution of Judaism as a way of life. We provide many opportunities for all of our members to participate actively in the congregation and its programs.	English, Hebrew	Yes	N/A	
Temple Emanuel Sinai	Faith Based Organization		Faith Based Organization						Para-Professional Support Services													www.temple-emanuel.org	280 May Street 		Worcester	MA	01602	Worcester	(508) 755-1257		office@emanuelsinai.org												
The Center for Human Development (CHD)	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	Behavioral Health Services												http://chd.org/	425 Union Street	Suite 6	West Springfield	MA	01089	Hampden	(413) 732-0011		Contact form on website								The Center for Human Development (CHD) provides a broad range of high quality, community-oriented human services dedicated to promoting, enhancing and protecting the dignity and welfare of people in need.				
The Crossing	Faith Based Organization		Faith Based Organization						Para-professional Support Services 													http://www.thecrossingboston.org/	138 Tremont Street		Boston	MA	02111	Suffolk	(617) 482-4826x318		info@thecrossingboston.org								Every week, every day, by God’s grace, we try to live it out.				
The GLBT Youth Support Project and OutHealth!	Training & Advocacy		Education, Training, and Employment	Cultural Competency Training 	Awareness and Advocacy				Training and Educational Activities	Awareness		Other Training and Education								LGBTQ youth	Family	http://www.hcsm.org/glys/home	942 West Chestnut Street		Brockton	MA	02301	Plymouth	(800) 530-2770 ext. 229	Missy Sturtevant	msturtevant@healthimperatives.org			Allies					To ensure safe and supportive communities for gay, lesbian, bisexual, transgender and questioning (GLBTQ) youth, adults, and their families.				
The Lesbians Of Color Symposium (LOCS) Collective, Inc.	Community & Social Support		Community Group	Education, Training, and Employment	Awareness and Advocacy				Para-professional Support Services	Awareness												http://www.locscollective.org/#	P.O. Box 692653 		Quincy	MA	02269	Norfolk			info@locscollective.org								LOCS Collective’s purpose is to address the gross disparities that exist regarding access to community and resources for LBTQ women of color in Boston and surrounding areas.  Concurrently, there are few organizations dedicated to providing services solely to LBTQ women of color. Our vision is to create spaces/platforms for LBTQ identified women of color in Boston and surrounding areas to celebrate our vibrant culture, solidify our community and increase our visibility. 				
The Men's Action Life Empowerment (MALE) Center	Physical Health		Health and Mental Health	HIV and AIDS Services	Counseling, Therapy, Psychological and Psychiatric Services	Community Group	Sexual Health		Health Care	Para-professional Support Services	Behavioral Health Services											malecenter.org	16 Haviland Street		Boston	MA	02118	Suffolk	(617) 450-1987		malecenter@aac.org	Keith Orr (857) 313-6557	korr@aac.org	LGBTQ					The Men’s Action Life Empowerment (MALE) Center is a community resource for gay and bisexual men in Boston. We affirm the value of the diversity of gay and bisexual men regardless of race, ethnicity, physical ability, HIV status, socioeconomic status and age. We welcome gay, bisexual and questioning men, regardless of HIV status. We also welcome allies of the community who want to work in an affirming way with a diverse group of men.	English, Spanish	Yes	MassHealth, Medicaid, Medicare, Private health insurance	
The Sunshine Club	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							clubhouse						Hadley	MA	01035	Hampshire	(413) 586-5004		rsteel@att.net -  EMAIL DOES NOT WORK			Transgender					Support group for MTF transgender individuals that meets monthly in Hadley.				
The Theater Offensive	Community & Social Support		Community Group	Awareness and Advocacy					Awareness			Community Outreach, Education and Engagement							Clubhouse			http://www.thetheateroffensive.org	565 Boylston Street	3rd Floor	Boston	MA	02116	Suffolk	(617) 661-1600		info@thetheateroffensive.org	Abraham Rybeck	abe@thetheateroffensive.org	LGBTQ					The Theater Offensive’s mission is to form and present the diverse realities of queer lives in art so bold it breaks through personal isolation and political orthodoxy to help build an honest, progressive community.	English	Yes	Private Health Insurance	
TIFFANY Club of New England	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support										http://tcne.org/	30 Guinan Street		Waltham	MA	02451	Middlesex	(781) 891-9325		info@tcne.org			LGBTQ	Transgender				TCNE is registered as a non-profit corporation in the state of Massachusetts with offices in Waltham, Massachusetts.  TCNE’s primary mission is that of being a social and support club for transgender peoples in the New England region.				
TransCEND	Physical Health		Community Group	Education, Training, and Employment	Case Management	Screening and Testing	Health and Mental Health		Para-professional Support Services			Para-professional Counseling, Therapy and Support							Community Prevention, Education and Outreach			http://transcendboston.org/en/about	75 Amory Street		Boston	MA	02119	Suffolk	(617) 437-6200		mailto:transcend@aac.org	Ceugant Scolaidhe (617) 450-1401	cscolaidhe@aac.org	Transgender					TransCEND (Transgender Care and Education Needs Diversity) provides support and risk reduction services to transgender women (male to female), transgender men (female to male) and their sex partners . The program offers member support, assistance with accessing basic services, medical care, support groups, educational groups, risk reduction materials, and individual case management.	English, Spanish, Portuguese, French, French - Creole	Yes	N/A	
Transformation Center	Mental Health		Education, Training, and Employment	Counseling, Therapy, Psychological and Psychiatric Services	Awareness and Advocacy				Awareness	 Para-professional Support Services	Training and Educational Activities	Community Outreach, Education and Engagement 	Group Para-professional Counseling, Therapy and Support	Other Training and Education					Clinical and Medical Counseling, Therapy, and Treatment			http://transformation-center.org/	98 Magazine Street	#2	Roxbury	MA	02119	Suffolk	(617) 442-4111	Scott Francis	scottf@transformation-center.org			LGBTQ			18		The Transformation Center is a peer-operated center with a mental health focus on wellness and life recovery through dialogue, education, systems change advocacy, and peer support.				
TransParent	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Community Prevention, Education, and Outreach						Holyoke	MA	01040	Hampden	(413) 695-7686	Nancy	pvtransparents1@gmail.com			LGBTQ	Family	Transgender			We are a support group for parents of transgender or gender non-conforming children and young adults. Our goal is to help support parents so that they can support their children.				
Trinity Episcopal Church, Haverhill 	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://www.trinityhaverhill.org	26 White Street		Haverhill	MA	01830	Essex	(978) 372-4244 		admin@trinityhaverhill.org	Rev Jane Bearden	priest@trinityhaverhill.org						Since 1856 Trinity has worshipped and endeavored to serve our Lord Jesus Christ in Haverhill, MA.  Located in the heart of the city, Trinity is an Episcopal church, a parish of the Diocese of Massachusetts and a member of the world-wide Anglican communion.   We welcome you to join us for worship and fellowship!	English	Yes	N/A	
Trinity Lutheran Church	Faith Based Organization		Faith Based Organization						Para-Professional Support Services													www.trinityworc.org	73 Lancaster Street		Worcester	MA	01609	Worcester	(508) 753-2989	Karen Allen	admin@trinityworc.org	Pr. Matthew James	mljames@trinityworc.org						Centered in the life, death and resurrection of Jesus Christ, celebrating the gift of God’s welcoming love, and committed to serving our neighbor, Trinity Evangelical Lutheran Church is a community of faith that respects each individual’s dignity and worth and welcomes people of every ability, age, sexual orientation, gender identity, race and socioeconomic situation.	English	Yes	N/A	
Umbrella	Community & Social Support		Community Group						Para-professional Support Services 			Para-professional Counseling, Therapy and Support							Clubhouse			www.wagly.org	309 Washington Street		Wellesley Hills	MA	02481	Norfolk	(781) 235-7423 x112		info@wagly.org	Jack Patrick Lewis (508) 875-2122	Jack.Lewis@WAGLY.org	Transgender					UMBRELLA is the WAGLY group specifically intended to provide additional support for transgender and gender-nonconforming youth. It is a social group led by peer leaders and trans- and cisgender adults.	English	No	N/A	Meetings on the first Wednesday and third Thursday of every month from 6:45 pm to 8:30 pm in Rice House, the yellow building next to the Parish Hall where WAGLY meets.
Unitarian Universalist Church Worcester	Faith Based Organization		Faith Based Organization						Para-Professional Support Services													www.uucworcester.org	90 Holden Street		Worcester	MA	01606	Worcester	(508) 853-1942		office@uucworcester.org			LGBTQ					The LGBTQI and Allies of the Unitarian Universalist Church of Worcester strives to further the affirmation and celebration of LGBTQI individuals in all aspects of the church community.  We also seek to increase the visibility of UUCW as a Welcoming Congregation within the greater community.				
Unitarian Universalist Congregation in Andover	Faith Based Organization		Faith Based Organization						Para-professional Support Services													http://uuandover.org/	6 Locke Street		Andover	MA	01810	Essex	(978) 475-4454		Contact form on website								We hope you will find among us an invitation: to celebrate life together in a caring community, to welcome children in the communal experience, to honor the diverse religious backgrounds of an interfaith constituency, to engage in personal spiritual growth, to be present for others who also search, to cooperate in supporting the community centered in worship, deepened by educational and social opportunities, and to work together with others for a just world. If the journey begins with the first step, we hope it may be in our company.				
